title,company,location,desc_raw,desc_visa,sponsor
SQL Programmer,GTN,"Tempe, AZ","Programmer roleDocument and system managementManaging dataData analytics skill SAS and SQL is a mustData set, use of dataDoes not have to have the credit card experiencePlus: commercial bankingModelingAnalyticsCard Data Analytics - (6046)Direct HireLocation: Tempe, AZJob DescriptionIn response to our strategic plans to grow our Business Credit Card portfolio, we are adding a key role to our Card Analytics Team. We are looking for the right individual to contribute to this exciting opportunity by providing deep industry expertise within our fast growing credit card business to help some of the most influential entrepreneurs and investors launch and grow their business globally. We serve companies in the innovation space that includes hardware, software, fintech, life science, as well as premium wine clients.The core responsibilities of this position are to conduct the data / reporting analytics for underwriting the bank commercial cards and managing the portfolio efficiently: score card / risk model development to predict commercial card performance; automation enhancement for credit decisioning and execution; proper and timely data reports of portfolio management. Key to this role is the ability to creatively develop dashboard and tools to enhance automation and reporting through leveraging the current banking data and expanding the data sources /analytics, monitor the BCC card portfolio performance timely to mitigate the portfolio credit risk while helping drive card revenue growth.QualificationsThis individual will apply industry knowledge and subject matter expertise to effectively perform the following:Provide in-depth credit worthiness assessment on business credit card portfolio through developing score card, risk model and algorithms to predict commercial card performance.Data analytics and symmetrical review to enhance the automation capability / procedure of our card offer underwriting / portfolio managementMonitor both the business credit card portfolios’ credit improvement /deterioration to take risk action proactively. Provide meaningful data analytics on card fraud management and timely executionWork with all business partners (IT, vendors, Data Analytics Team) to build, maintain card dashboardThe role is expected to conduct commercial data daily analytics and is expected to operate independently within the oversight of the Card Product Analytics Directors. . Data management, commercial card credit analysis and excellent communication skills are required to be successful in this role.This individual will also need to develop strong internal relationships and work closely in partnership with IT, Data Analytics, Credit Administration, Card Product, and Payment Operation. The right individual will have both influence and exposure to the Credit and Payment Leadership Team.The position requires deep expertise in data analytics of commercial loan portfolio management, particularly over small business credit card portfolios. Experience in underwriting / managing business credit card portfolio is a plus. Understanding the venture capital / start up ecosystem is a plus.BS/BA Degree in Finance, Accounting, Statistics, Math or Economics with 3+ year direct work experience in data analytics on commercial card portfolio. Demonstrated expertise in commercial credit data management and reporting are required. Master’s degree is a plus. Prefer deep experience on data management in deferent data systems, especially commercial card systems (FD, TSYS, etc.)Demonstrated proficiency working with computers and Microsoft Office applications (specifically, Outlook, Excel, Visio, Word, and PowerPoint).GTN provides Scalable Technical Staffing solutions encompassing SOW, staff augmentation, and direct hire placement for Fortune 2000 companies, with niche service offerings in Cyber Security, Digital, Payroll Management, and Professional Services.",check company stance,Unknown
SQL Developer - Health Data Analytics,IMPAQ Group,"Seattle, WA","OverviewIMPAQ International, a growing and dynamic social science research firm, provides high-quality research and impact evaluation services, policy analysis, survey research, technology solutions, organizational development, technical assistance and consulting services to U.S. and international government agencies, foundations, and the private sector.IMPAQ's mission is to bring together exceptional people to develop innovative and rigorous approaches to evaluate the real-world impact of social policies and programs. IMPAQ offers five locations: our Corporate Headquarters in Columbia, Maryland, rated one of America's Best Small Cities; Downtown Washington, D.C., Boston, Massachusetts, a Bay Area office in Oakland, California and Seattle, Washington. IMPAQ has a diverse and collegial work environment.ResponsibilitiesThe SQL Developer will be responsible for designing, developing and testing applications, databases, and reports that interface with the CMS Integrated Data Repository (IDR), similar databases (e.g. Master Data Management [MDM], Salesforce) and systems. This role will require a commitment to collaborative problem solving, sophisticated design, and quality product development. The SQL Developer will identify ways to develop, test, maintain, and improve mission-critical systems. The ideal candidate will be both proficient in SQL and have extensive experience working with claims data within the CMS IDR.Applicants must be currently authorized to work in the U.S. on a full-time basis. Employment-based visa sponsorship (including H-1B sponsorship) is not available for this position.Qualifications* Bachelor's Degree in Computer Science, Software Engineer, or a related field required* 5 + years of SQL* Strong experience with relational database systems, including MySQL, Oracle, or SQL Server* Knowledge of reporting and query tools and practices* SAS Business Intelligence, MicroStrategy, Tableau or other data visualization tool experience is a plus* Experience analyzing CMS claims data within the IDR using Teradata is requiredSkills* Proficient understanding and use of code versioning and issue tracking tools such as Git or JIRA* Familiarity with Teradata and understanding of virtual data mart and cube designs* Ability to work within different IT infrastructures* Excellent attention to detail, problem solving, and organizational skills* Technical documentation writing skills and the ability to present ideas and concepts clearly* Subject matter expert in the healthcare domain with the ability to problem solve and offer solutions* Must be proactive and self-driven* Ability to work with tight deadlines and prioritize and execute tasks in a fast-moving and high-stakes environment* Ability to adapt to changing priorities if needed",ideal candidate proficient sql extensive experience working claims data within cms idr applicants must currently authorized work us full time basis employment based visa sponsorship including h1b sponsorship not available position qualifications bachelors degree computer science software engineer related field required 5 + years sql strong experience relational database systems including mysql oracle sql server knowledge reporting query tools practices sas business intelligence micro strategy tableau data visualization tool experience plus experience analyzing cms claims data within idr using teradata required skills proficient understanding use code version ing issue tracking tools git jira familiarity teradata understanding virtual data mart cube designs ability work within different infrastructures excellent attention detail problem solving organizational skills technical documentation writing skills ability present ideas concepts clearly subject matter expert healthcare domain ability problem solve offer solutions must proactive self driven ability work tight deadlines prioritize execute tasks fast moving high stakes environment ability adapt changing priorities needed,Unknown
PowerBI Developer,"Multivision, Inc.","Downers Grove, IL",Duration Contract to hire Client is looking for a Power BI Developers- Looking for a strong BI Developer with 10 yrs Min Experience with power BI developer (4-5 years) with extensive experience in SqlserverAzure cloud project is mandatoryExperienceKnowledge in Datafactory or SSIS would be a huge plusConsultant should be able to work Independently,check company stance,Unknown
ETL/Data Integration Developer,PHEAA,"Harrisburg, PA","Job DescriptionThe Pennsylvania Higher Education Assistance Agency (PHEAA) has a tremendous vision to provide funding for education opportunities to deserving students. As a not-for-profit Agency, all revenue beyond paying the bills are poured back into giving to these students. The ETL/Data Integration Developer focuses on movement of data across systems with the primary focus on moving data from source transactional systems to the data warehouse environment. This role assists with enterprise data movement of data using standard framework, methods, guidelines and principles across the Agency defined by the ETL/Data Integration Lead. The ETL/Data Developer is a hands on role that works with technical source system owners, Enterprise Application Architects, and the Business Intelligence (BI) Architect to ensure high quality and complete data is delivered in a timely manner to the data warehouse environment and/or data feeds ensuring monitoring and daily load status reports are provided. Additionally, the ETL/Data Integration Developer takes part in the on call ETL support schedule.Salary: Commensurate with experience starting at $86,500Job Responsibilities Develop ETL packages using Informatica & Python. Collaborate with source system technical owners, BI Architect, and AWS resources to create data stream solutions to move data from on premise and cloud based system to the data lake and data warehouse environment. Work with application owners and reporting owners to create data feed process to support B2B integrations. Collaborate with Data Analysts and BI Architect to create and update source to target mappings (STM). Maintain ETL/Data integration agile stories with time estimations and delivery to dates.Required Skills Bachelor's Degree in Information Technology, Management Information Systems or Engineering preferred; five plus years of Information Technology (IT)-related experience and expert level knowledge with current hands on experience building data integration processes using three years minimum using Informatica; or the equivalent combination of knowledge, training, and/or experience. Hands on experience in using Informatica for ETL source to target package builds. Hands on expert in the implementation of data integration processes for a data warehouses environment. Hands on experience in building initial load and change data capture (CDC) ETL jobs in Informatica. Proficient in STM requirement creation and implementation. Hands on experience in building data steams on an agile project. Proficient in the creation of data flow diagrams and documentation for data integration processes. Demonstrated deep understanding of SQL syntax using various relational database engines (i.e. IBM Relational Database DB2, SQL Server, Oracle). Knowledge of data warehousing data structures and usage. Excellent written and verbal skills. Proficient in Microsoft Office Suite. Proven delivery in a work remote environment. Candidates for this position would need to obtain the Public Trust security clearance. For this level of clearance, the federal government has a requirement that all applicants must possess a U.S. citizenship. In light of this federal government requirement, PHEAA will be unable to hire applicants without United States citizenship for such positions.  Required ExperienceBachelor's Degree in Information Technology, Management Information Systems or Engineering preferred or the equivalent combination of knowledge, training, and/or experience.",proven delivery work remote environment candidates position would need obtain public trust security clearance level clearance federal government requirement applicants must possess us citizenship light federal government requirement pheaa unable hire applicants without united states citizenship positions required experience bachelors degree information technology management information systems engineering preferred equivalent combination knowledge training andor experience,Unknown
Data Warehouse & Integration Developer,Rice University,"Houston, TX","The data warehouse & integration developer is responsible for the design, development, and support of the data warehouse and analytics ecosystems for Rice University. The position supports all institutional, academic, and administrative domains. The work of the data warehouse & integration developer includes data integrations, data management, master data management, data governance, and analytics.",check company stance,Unknown
SQL SSIS Developer (Profisee),Quest Solutions Pvt Ltd,"Clive, IA","Quest Solutions, Inc is looking for a Data Developer III (SQL SSIS) for a contract to hire role. Candidates must have Profisee experience and be able to convert to full time without sponsorship. Candidates can work onsite in Clive, IA, Duluth, GA, Fort Worth, TX, Rancho Cucamonga, CA, Charlotte, NC, and remote. Key Skills The core skill set that this individual needs is SSISSQL Development Skills Profisee is also required for this role - candidate must have experience with both the UI backend of Profisee Candidate will understand how data sources come in and the mappings, then they will work with the ETL tool to bring the data in Will understand the rules that can be configured in Profisee and how to apply those roles The role will be Profisee Workflow focusedFull DescriptionWe are seeking a talented Data Developer III to be a technology data developer that works independently and may play the role of technical lead on key strategic projects as related to data infrastructure, reporting, data triage, master data management, and other related data initiatives. This role serves as a team lead by mentoring all other levels of data. This position helps guide and mentor less experienced and skilled team members on technology industry standards, tools, and practices as well as design and implement best practices for data development. The Data Developer III partners closely with ETS (Enterprise TechnologyServices), business and operation teams. Responsibilities Serves as technical lead for strategic and enterprise level data driven projects. Collaborates with other areas of ETS as well as business units. Follows and advises on industry standards and advances on data driven technologies and tools. Helps design and implement best practices for the data development team. Guides and mentors other less tenured data developers and analysts. Creates enterprise level end-to-end data flow diagrams and logical data models. Develops and reviews complex SQL, T-SQL scripts, stored procedures, and SSIS workflows for various reporting and data development projects.Documents data development best practices, enterprise level data flow diagrams, and provides recommendations regarding technology tools, products and services in order to help keep our environment on the cutting edge of technology. Serves as technical advisor to database administrators in areas of database optimization, indexing and data retention. Leads data developer on key strategic projects. Develops and designs solutions with security as a critical design requirement for data, systems, and applications. Responsible for reporting risks that are identified to the appropriate team andor management. Additionally, responsible for managing, monitoring and reporting risks within the scope of your work area, to include, but not limited to Information Security risks.Qualifications College degree in CIS, Data Management, Data Analytics or equivalent training andor experience. 7+ yearsrsquo experience working in a data function or equivalent position where primary responsibility is working with data, database design and data development is the primary responsibility. Best practices for data development within a PCI environment. Experience with Profisee is required for this position. Ability to analyze enterprise level data sources and determine relationships between those sources as well as determine methodologies for integration with 3rd party data sets. Expertise in data warehousing and data modeling methodologies, tools and best practices. Financial industry knowledge. Agile methodologies. Expert knowledge of Profisee MDM workflow and matching strategies. Excellent communication skills and ability to translate the complex to simple and easier terms for business leaders and users of data. Expert knowledge of MS Office tools including MS Visio. Ability to lead large data driven enterprise projects. Must be detail focused. Must possess strong communication skills. Ability to coach, mentor and lead others in the ETS area.Ability to identify, recommend and set best practices for the data developer role.",candidates must profisee experience able convert full time without sponsorship candidates work onsite clive ia duluth ga fort worth tx rancho cucamonga ca charlotte nc remote,Unknown
Oracle PL/SQL Developer,Galaxy Solutions,"Somerset, NJ","What You Will Do* Analyze business requirements, propose, design and implement technical solutions* Responsible for design and development of data architecture and ETL data-flows in support of enterprise risk management, analytics and reporting* Work effectively with the DBA teams to ensure that all approved development and deployment procedures are followed.* Provide production support from development teams for existing systems, troubleshoot data and/or system issues* Identify root causes and resolve data related issues* Review and optimize query performanceSkills and Experience You Will NeedRequired* Extensive experience with database development tools (Oracle, Toad), ETL and integration technologies* Experience developing large scale systems* Experience developing interfaces to Oracle or other SQL-based databases* Experience working in controlled development, testing and production environments* Experience in Data Modeling, Data Warehousing, PL/SQL, ETL processing* Familiarity with development toolkits & source repositories SVN/GIT etc.* Sound understanding of RDBMS* Strong written and oral communication skills* Excellent problem-solving and quantitative skills* Aptitude for debugging problems in complex, unfamiliar code* Demonstrated ability to work as part of a team* Solid work ethic, self-driven with the ability to work with minimal supervision* Implement and maintain the database design* Create database objects (tables, indexes, etc.)* Write database PLSQL Packages, procedures, functions and triggers* Assist team members (Developers/QA/devops) with database activities* Tune database queries* Monitor application related jobs and data replication activitiesWho We AreGalaxE.SolutionsCelebrating 30 years of excellence, GalaxE has pioneered the use of automation to achieve enterprise business transformation and mission-critical change for some of the largest companies in the world. We are always looking for passionate, entrepreneurial-minded innovators and disrupters; game-changers that take ownership in the work they produce and bring it each and every day. Working with like-minded team members you will get a chance to discover, develop and use cutting-edge technologies to transform the way we deliver creative business solutions. Sound like you? Join us, and find out for yourself what it means for you, and your career, to be part of the GalaxE team. Let's build something, together. #WeAreGalaxE, #CoolAutomationEqual Opportunity Employer/Veterans/Disabled",check company stance,Unknown
Analyst,VelvetJobs,"Cleveland, OH","Job DescriptionApplication Deadline: July 17, 2020Please Note: The application deadline is Friday, July 17th; however, interested students are advised to apply as soon as possible as interviews may begin prior to the application deadline.2021 KBCM Traditional Equity Research Summer Analyst Cleveland, OhioKeyBanc Capital Markets is a leading corporate and investment bank providing capital markets and advisory solutions to dynamic companies capitalizing on opportunities in changing industries. Our deep industry expertise, broad capabilities and unique ideas are seamlessly delivered to companies across the Consumer & Retail, Diversified Industries, Healthcare, Industrial, Oil & Gas, Real Estate, Utilities, Power & Renewables, and Technology verticals. With over 800 professionals across a national platform, KeyBanc Capital Markets has more than $30 billion of capital committed to clients and an award-winning Equity Research team that provides coverage on over 700 publicly-traded companies.The Summer Analyst program provides an excellent opportunity for senior-level banker and client exposure and higher, immediate hands-on experience.Job Duties May IncludeInterns work closely with teams of Research Analysts and Associates that cover over 700 stocks in 6 sectors. You will learn fundamental research and valuation skills, and capital markets perspective and industry knowledge. Interns may have the opportunity to rotate on two different desks throughout the summer, covering different sectors for varied experience, and will present a stock pitch as a capstone to the internship.Required QualificationsGraduating with a degree May 2022 with relevant coursework in finance, accounting and/or economicsOutstanding academic achievement (minimum GPA 3.5 preferred)Relevant work or internship experienceExceptional interpersonal and relationship-building skillsDemonstrated positions of responsibility and leadershipEffective oral and written communication skillsEligibility to work permanently in the U.S. without sponsorship now or in the future",learn fundamental research valuation skills capital markets perspective industry knowledge interns may opportunity rotate two different desks throughout summer covering different sectors varied experience present stock pitch capstone internship required qualifications graduating degree may 2022 relevant coursework finance accounting andor economics outstanding academic achievement minimum gpa 35 preferred relevant work internship experience exceptional interpersonal relationship building skills demonstrated positions responsibility leadership effective oral written communication skills eligibility work permanently us without sponsorship future,Unknown
Junior Program Analyst,6K Systems Inc.,"Clarksburg, WV","6K Systems, Inc. (6K) provides exceptional Management Consulting, Information Technology and Mission Services to DoD, law enforcement and civilian agencies throughout the United States. In doing so, we utilize industry best practices to develop procedures that ensure compliance, consistency, reliability, and efficiency. As these standards evolve, we improve our level of quality and service to meet new demands.Consistent with this focus, 6K holds a wide range of accreditation and certifications, including ISO 9001:2008 (Quality Management), ISO 14001:2015 (Environmental Management), ISO 27001:2013 (Security Management), and CMMi Maturity Level 2. 6K is a Microsoft Gold Solution Provider (MSCP, MCSE1, MCDBA, MCSA, MCNPS, MCTS, SA, MCITP, MCTEM).This focus on quality and commitment to unparalleled customer satisfaction drives 6K to continuous improvement and growth. We are determined to grow our business and customer relationships through integrity, superior performance, and an uncompromising dedication to excellence.We are looking for a professional Junior Program Analyst to join our team!JOB RESPONSIBILITIESIndividual will support the Federal Bureau of Investigations (FBI) National Instant Criminal Background Check System (NICS) Section by supporting the overall NICS mission. The undertaking of the NICS Section is to guarantee national security and public safety. Selected duties individual will perform include:* Compose proper transaction research comments* Provide verification/validation of documents received and current documents within the NICS and/or other CJIS Division databases* Provide analysis (reviewing transactions marked for processing, processing work identified within a transaction, and providing follow-up action as needed), on NICS transactions* Conduct research and analysis on two existing Delay Queue transactions per hour in accordance with SOPs* Support analyst functions including data collection, interviewing, data modeling, project testing, and creation of performance measurements to support project objectives* Ensure accuracy of all work completed and held accountable to the standards set forth in the NICS Section* Conduct verification on specific Originating Agency Identifiers and correct/update corresponding contact and agency information as needed* Contact agencies as needed; document any contact-related issues to include agency, method of contact, and description of issue* Provide updated or any new contact information received while in correspondence with any agency to the NICS Sections Business Advocate Team (BAT)* Process incoming appeal requests via the NICS; assist with providing first day responses* Validate submitted appeal disposition documentation for accuracy.* Continuously evaluate existing procedures, processes, techniques, models, and/or systems related to the work being processed and provide recommended actions or solutionsPlease note: The position could be one or all of the above duties dependent on client needsREQUIREMENTS* Active SECRET or TOP Secret Security Clearance* Minimum of one year of experience in analysis, customer service, administrative support, law enforcement, armed guard, criminal justice, military or intelligence* Computer, printer, copier, telephone and scanning skills* Strong oral and written communication skills* Superior customer service skills* Ability to work independently* Must possess knowledge of applying analytic methodologies and principles to address clients needsThis position is located in Clarksburg, WV. To apply, please send your resume to victoria.pittman@6ksystems.com6K Systems offers a competitive salary and a generous benefits package. This package includes medical, dental, vision, life, short and long- term disability insurances, and a 401(k) retirement plan.6K Systems is an Equal Opportunity Employer; all qualified applicants are encouraged to apply. EEO/M/F/D/V",6k systems inc 6k provides exceptional management consulting information technology mission services dod law enforcement civilian agencies throughout united states selected duties individual perform include compose proper transaction research comments provide verification validation documents received current documents within nics andor cjis division databases provide analysis reviewing transactions marked processing processing work identified within transaction providing follow action needed nics transactions conduct research analysis two existing delay queue transactions per hour accordance sops support analyst functions including data collection interviewing data modeling project testing creation performance measurements support project objectives ensure accuracy work completed held accountable standards set forth nics section conduct verification specific originating agency identifiers correct update corresponding contact agency information needed contact agencies needed document contact related issues include agency method contact description issue provide updated new contact information received correspondence agency nics sections business advocate team bat process incoming appeal requests via nics assist providing first day responses validate submitted appeal disposition documentation accuracy continuously evaluate existing procedures processes techniques models andor systems related work processed provide recommended actions solutions please note position could one duties dependent client needs requirements active secret top secret security clearance minimum one year experience analysis customer service administrative support law enforcement armed guard criminal justice military intelligence computer printer copier telephone scanning skills strong oral written communication skills superior customer service skills ability work independently must possess knowledge applying analytic methodologies principles address clients needs position located clark burg wv,Unknown
Forecasting Analyst,Bristol Myers Squibb,"Princeton, NJ","Bristol-Myers Squibb is a global Biopharma company committed to a single mission to discover, develop, and deliver innovative medicines focused on helping millions of patients around the world in disease areas such as oncology, cardiovascular, immunoscience and fibrosis.Join us and make a difference. We hire the best people and provide them with a work environment that places a premium on diversity, integrity, collaboration and personal development. Through a culture of inclusion, we create a better, more productive work environment. We believe that the diverse experiences and perspectives of all our employees help to drive innovation and transformative business results.The Forecasting Analyst supports the functional objectives of Clinical Trial Analytics Forecasting by collaborating with team members to perform a variety of project-oriented duties in support of study start-up, enrollment planning and reporting activities, as well as department and Global Clinical Operations initiatives. The Forecasting Analyst must be able to perform standard deliverables independently.Key Responsibilities and Major DutiesPrepares and leads target setting process among countries selected to participate in a clinical trial.Creates country level accrual plans which roll up to study level accrual plan, identifying planned interim milestones and enrollment closure dates.Supports the production of analytics that track actual enrollment at the study and country level, alerting the Clinical teams to relevant changes in actuals that may impact study timelines or performance.Responsible for scenario modeling (re-projection and re-planning) and accrual forecasting by gathering data from various sources (i.e., IVRS, eDM/SMT, Eclipse, Lab data), collaborating with Clinical Trial Analytics Feasibility to determine the likelihood of the scenarios, and inform Clinical teams.Determines study tracking requirements (eg, cohort or country capping) and produces analytics and insights to share with stakeholders, and ensures needs are met.Supports global site selection through the creation and deployment of analytics and metrics that incorporate insights from historic performance measures for potential investigators.Translates customer requests into deliverables.Provides support to Clinical teams in preparation of operational review meeting and other oversight committeesSupports end of enrollment forecasting, including cohort and capping information where appropriate.Provides recommendations and/or at least ensures the study team has data to make informed decision of when to end enrollment (LPFV) to meet the target number of subjects enrolled and treated.Supports subject retention tracking by site and country where appropriateProvides ad hoc analysis of trends within and across protocols to identify opportunities for improvement or creating cost effective synergies.Where applicable contributes to the optimization of reporting platforms and dashboards.Supports specific requests for more advanced data insights, visualizations and decision packets.Supports department and GCO initiatives, providing data, metrics, analysis and recommendations.Customer focus, attention to detail, experience with information systems and clinical trial intelligence and supporting data, extremely proficient with MS Office (Word, ppt), ability to handle multiple projects. Strong analytical competencies. Exposure to, and clear understanding of clinical data sets as it relates to clinical trial planning, forecasting and monitoring. Forecasting/simulation experience is a plus.Key Stakeholders/Contacts - describe this position's key internal matrix relationships and key external stakeholders/clientsKey stakeholders/clientsProtocol ManagersRegional Site ManagersPlanning & Execution LeadClinical Operations Leads and Development TeamsKey matrix relationshipsFeasibility Specialists, Clinical Trial AnalyticsStrategic, Options and Assessment (SOA)GCO planning and leadershipList Of Minimum RequirementsDegree/Certification/ LicensureBS/BA degree; preferably in a scientific discipline or allied health field (e.g. information science, epidemiology, life sciences)Experience - Responsibility and minimum number of years2+ years career experience; preferably including experience in clinical research/operations or clinical trial information roles.Experience working in a matrix environmentExperience working in a clinical research environment; Clinical or pharmaceutical/healthcare industry experienceExperience working with vendors is preferredCompetencies - knowledge, skills, abilities, otherStrong Excel skill-set, including working with formulas, graphs, pivot tables, and preferably macrosGood understanding of clinical trial processes and analytical techniquesStrong oral, written and interpersonal communication skillsStrong analytical skillsKnowledge of Clinical Trial Management System tools (i.e., CTMS/Eclipse) and Software that must be used independently and without assistanceDemonstrated proficiency in standard Microsoft Office tools (including Outlook and SharePoint)Software that must be used independently and without assistance (e.g., Microsoft Suite)SoftwareExcel (advanced proficiency)Power Point (advanced proficiency)Microsoft OfficePredictive analytic software and methodologies (SAS, R, data mining, visualization tools/techniques, etc.) highly regarded but not necessaryBMS Behaviors RequiredPassionSpeedInnovationAccountabilityBristol-Myers Squibb recognizes the importance of balance and flexibility in our work environment. We offer a wide variety of competitive benefits, services and programs that provide our employees the resources to pursue their goals, both at work and in their personal lives.",check company stance,Unknown
Medicare/Medicaid Analyst,CRS,"Chicago, IL","Medicare/Medicaid AnalystLocation: Chicago, IL (Remote to start)Duration: 1+ monthSummaryThis position is responsible for monitoring Medicaid/Medicare and related regulations and policy changes impacting clinical operations; participating in audits; supporting tracking and submission of Medicaid State Contract(s) related deliverables, including fulfillment of internal and contractual reporting requirements; working with other areas of the organization on the development, testing and implementation of organization, process and system changes to ensure the requirements of the Medicaid program are met; and assisting MMP in coordination of the contract with the State/CMS enterprise-wide.Candidate Must Meet The Following To Start RemoteHave their own equipmentHave a smartphoneHave High speed internet accessComfortable place to workBe able to work 40 hr weekJob RequirementsBachelor Degree in Business OR 2 years experience with health insurance.1 year of experience with health insurance benefits and/or operations.Knowledge of Medicaid and Medicare product(s).Verbal and written communication skills.Experience presenting trends and findings in meetings with management.Experience organizing multiple tasks and responsibilities.Experience analyzing data reports.Experience developing and running queries in a database.PC proficiency to include Microsoft Word, Excel, PowerPoint, and Outlook.Preferred Job RequirementsKnowledge of CMS Medicare Advantage software applications.Prescription Drug coverage and PPO knowledge including Regulations and Guidelines.Knowledge of health benefits.Knowledge of Health Plan Clinical Operations.Founded in 1994 as Computer Resource Solutions, The CRS Group is a privately held company with offices in Itasca, IL and downtown Chicago. CRSG provides staffing solutions to Fortune 500 companies by successfully managing their IT contingent workforce needs. We expanded our offerings to extend that same high-quality service to other business needs, including creative, marketing, finance, legal and HR.",check company stance,Unknown
Analyst - 350249,NYC Administration for Children's Services,"New York, NY","Job DescriptionThe Analyst will join the Justice Analytics and Child Welfare Reporting Unit within the Office of Research and Analysis. The unit is responsible for developing, producing, maintaining and distributing a wide variety of reports. A partial list of these reports includes the Mayor’s Management Report, ACS FLASH, ACS Strategic Management Report, and ACS quarterly and annual report to City Council on child welfare. The Child Welfare Analyst position requires someone with strong analytic, GIS, data visualization and organizational skills with the ability to integrate and synthesize different types of data into relevant domains. Under the supervision of the Unit’s Deputy Director, the responsibilities of the Analyst will include: Develop analytic plans on specified topics Support the production of the Flash and the Strategic Management Report Support the development, production, maintenance and distribution of management reports Develop and produce geographical analyses and maps Respond in a timely way to a variety of analytic and informational ad hoc requests from both internal and external stakeholders Perform analytic tasks, using both individual or case level data as well as aggregate data. This will include querying data, conducting analyses and developing reports using basic quantitative methods Provide written and graphic summaries of key issues and analytic findingsMinimum Qual Requirements A baccalaureate degree from an accredited college and two years of experience in community work or community centered activities in an area related to the duties described above; or High school graduation or equivalent and six years of experience in community work or community centered activities in an area related to the duties as described above; or Education and/or experience which is equivalent to ""1"" or ""2"" above. However, all candidates must have at least one year of experience as described in ""1"" above.Preferred SkillsAnalytic experience with large administrative data bases producing descriptive and other types of statistical analyses. Experience producing maps and data visualizations. Proficiency with SPSS or other similar statistical software, including Microsoft Office Applications. Proficiency with ArcGIS or other similar applications. Experience with Oracle SQL and data visualization software a plus. Familiarity with NYS child welfare systems of record, also a plus. Critical to this position is a familiarity with quantitative methods, and good communication and presentation skills. A Master’s degree in the social sciences or related field and background in child welfare policy and operations strongly preferred.Additional InformationSection 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.Job vacancy notice has been reposted; previous applicants do not need to reapply.The City of New York and the Administration for Children’s Services are Equal Opportunity Employers Committed to DiversityTo ApplyClick ""Apply Now"" buttonResidency RequirementNew York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",masters degree social sciences related field background child welfare policy operations strongly preferred additional information section 424a new york social services law requires authorized agency inquire whether candidate employment child caring responsibilities subject child abuse maltreatment report job vacancy notice posted previous applicants not need reapply city new york administration childrens services equal opportunity employers committed diversity apply click apply now button residency requirement new york city residency generally required within 90 days appointment however city employees certain titles worked city 2 continuous years may also eligible reside nassau suffolk putnam westchester rockland orange county,Unknown
